_class_name,_created_at,_object_id,_updated_at,airportLocation,airportName,iata,icao
Airport,2013-04-02T15:09:54.659Z,NJspXorBLg,2013-04-02T15:09:54.659Z,None,Yeelirrie Airport,KYF,YYLR
Airport,2013-04-02T15:09:54.674Z,rI0QYmigYK,2013-04-02T15:09:54.674Z,"Yam Island, Queensland",Yam Island Airport,XMY,YYMI
Airport,2013-04-02T15:09:54.689Z,G7RYz3zy5Z,2013-04-02T15:09:54.689Z,None,Yuendumu Airport,YUE,YYND
Airport,2013-04-02T15:09:54.704Z,xyuN3Flxj0,2013-04-02T15:09:54.704Z,"Young, New South Wales",Young Airport,NGA,YYNG
Airport,2013-04-02T15:09:54.719Z,HVe2kefRVA,2013-04-02T15:09:54.719Z,"Yarram, Victoria",Yarram Airport,,YYRM
Airport,2013-04-02T15:09:54.734Z,ckJW5TOagg,2013-04-02T15:09:54.734Z,None,Yalata Mission Airport,KYI,YYTA
Airport,2013-04-02T15:09:54.749Z,SweOin9XNl,2013-04-02T15:09:54.749Z,"Yarrawonga, Victoria",Yarrawonga Airport,,YYWG
Airport,2013-04-02T15:09:54.764Z,z37DZwev3g,2013-04-02T15:09:54.764Z,Beijing,Beijing Capital International Airport,PEK,ZBAA
Airport,2013-04-02T15:09:54.779Z,sKeHIukl2b,2013-04-02T15:09:54.779Z,Beijing,Beijing Xijiao Airport,,ZBBB
Airport,2013-04-02T15:09:54.794Z,NtrmFTmjHF,2013-04-02T15:09:54.794Z,"Chifeng, Inner Mongolia",Chifeng Yulong Airport,CIF,ZBCF
Airport,2013-04-02T15:09:54.808Z,yxJHrbrsAa,2013-04-02T15:09:54.808Z,"Changzhi, Shanxi",Changzhi Wangcun Airport,CIH,ZBCZ
Airport,2013-04-02T15:09:54.824Z,C1rFO5BHoy,2013-04-02T15:09:54.824Z,"Ordos (Dongsheng), Inner Mongolia",Ordos Ejin Horo Airport,DSN,ZBDS
Airport,2013-04-02T15:09:54.839Z,5kMVcaDgj2,2013-04-02T15:09:54.839Z,"Datong, Shanxi",Datong Yungang Airport,DAT,ZBDT
Airport,2013-04-02T15:09:54.854Z,WOOo9qNpGc,2013-04-02T15:09:54.854Z,"Erenhot, Inner Mongolia",Erenhot Saiwusu International Airport,ERL,ZBER
Airport,2013-04-02T15:09:54.868Z,Vdi86YpRfU,2013-04-02T15:09:54.868Z,"Arxan, Inner Mongolia",Arxan Airport,YIE,ZBES
Airport,2013-04-02T15:09:54.883Z,2pRBY79Lhm,2013-04-02T15:09:54.883Z,"Handan, Hebei",Handan Airport,HDG,ZBHD
Airport,2013-04-02T15:09:54.898Z,LcnxGqW5Xe,2013-04-02T15:09:54.898Z,"Hohhot, Inner Mongolia",Hohhot Baita International Airport,HET,ZBHH
Airport,2013-04-02T15:09:54.913Z,em8oxPz2qK,2013-04-02T15:09:54.913Z,"Hailar, Inner Mongolia",Hailar Dongshan Airport,HLD,ZBLA
Airport,2013-04-02T15:09:54.930Z,CLTriGHiXm,2013-04-02T15:09:54.930Z,"Manzhouli, Inner Mongolia",Manzhouli Xijiao Airport,NZH,ZBMZ
Airport,2013-04-02T15:09:54.945Z,It7RPtYZRy,2013-04-02T15:09:54.945Z,Beijing,Beijing Nanyuan Airport,NAY,ZBNY
Airport,2013-04-02T15:09:54.960Z,7ElQ9nEfZ4,2013-04-02T15:09:54.960Z,"Baotou, Inner Mongolia",Baotou Erliban Airport,BAV,ZBOW
Airport,2013-04-02T15:09:54.976Z,tIShPUNMnL,2013-04-02T15:09:54.976Z,"Qinhuangdao, Hebei",Qinhuangdao Shanhaiguan Airport,SHP,ZBSH
Airport,2013-04-02T15:09:54.991Z,EenD6AXoXl,2013-04-02T15:09:54.991Z,"Shijiazhuang, Hebei",Shijiazhuang Zhengding International Airport,SJW,ZBSJ
Airport,2013-04-02T15:09:55.006Z,2hoObw9vJ8,2013-04-02T15:09:55.006Z,Tianjin,Tianjin Binhai International Airport,TSN,ZBTJ
Airport,2013-04-02T15:09:55.020Z,j2N57utwhq,2013-04-02T15:09:55.020Z,"Tongliao, Inner Mongolia",Tongliao Airport,TGO,ZBTL
Airport,2013-04-02T15:09:55.142Z,4EtMhg08Aa,2013-04-02T15:09:55.142Z,"Wuhai, Inner Mongolia",Wuhai Airport,WUA,ZBUH
Airport,2013-04-02T15:09:55.157Z,NnvnssbAsy,2013-04-02T15:09:55.157Z,"Ulanhot, Inner Mongolia",Ulanhot Airport,HLH,ZBUL
Airport,2013-04-02T15:09:55.172Z,fytO2MsQqZ,2013-04-02T15:09:55.172Z,"Xilinhot, Inner Mongolia",Xilinhot Airport,XIL,ZBXH
Airport,2013-04-02T15:09:55.187Z,7RhzFSoikg,2013-04-02T15:09:55.187Z,"Xingtai, Hebei",Xingtai Dalian Airport,XNT,ZBXT
Airport,2013-04-02T15:09:55.202Z,L7KS73BEaa,2013-04-02T15:09:55.202Z,"Yuncheng, Shanxi",Yuncheng Guangong Airport,YCU,ZBYC
Airport,2013-04-02T15:09:55.691Z,eGyPfszIde,2013-04-02T15:09:55.691Z,"Taiyuan, Shanxi",Taiyuan Wusu International Airport,TYN,ZBYN
Airport,2013-04-02T15:09:55.706Z,dsMJRcafkD,2013-04-02T15:09:55.706Z,"Beihai, Guangxi",Beihai Fucheng Airport,BHY,ZGBH
Airport,2013-04-02T15:09:55.721Z,InzAkbp3Ur,2013-04-02T15:09:55.721Z,"Baise, Guangxi",Baise Youjiang Airport,AEB,ZGBS
Airport,2013-04-02T15:09:55.736Z,J1ZWjGUeuN,2013-04-02T15:09:55.736Z,"Changde, Hunan",Changde Taohuayuan Airport,CGD,ZGCD
Airport,2013-04-02T15:09:55.754Z,7AiVcU25vB,2013-04-02T15:09:55.754Z,"Huaihua, Hunan",Zhijiang Airport,HJJ,ZGCJ
